,subscriber,income,healthcare,quality childcare,education,affordable housing,children health insurance,# of children younger than 8,employment,children relationship score
106,017b661b-595e-42fd-b937-6b5df85b8606,,,,,,Private (through parent/caregiver),,,
107,017b89d5-a223-46c4-933d-1758fb2a0704,,,,,,Medicaid or CHIP,,,
108,01812b7f-3eff-43fd-9c7c-12e92e64e385,,,,,,Private (through parent/caregiver),,,
109,0186b403-dece-470f-b650-a08e7315fff5,,,,,,Private (through parent/caregiver),,,
110,0186c713-3490-4e21-9507-ccda1bde9ad6,,,,,,Private (through parent/caregiver),,,
111,01951918-2e19-46c3-a147-ba0ab482a19a,"Under $50,000",Yes,No,,Yes,Medicaid or CHIP,2,Full-time homemaker,
112,019b7b62-9516-4874-b4a1-eb2e41ab7e42,,,,,,Medicaid or CHIP,,,
113,019d4326-e919-49bf-aa32-7d136981118b,,,,,,,,,
114,01a67b92-b235-4036-ba47-df6e0867b14d,,,,,,,,,
115,01a68a1f-56e3-4fe9-ab32-45d6367f69cc,,,,,,Medicaid or CHIP,,,
116,01a93a2a-0697-4c55-9638-31c99a89eca0,,,,,,Medicaid or CHIP,,,
117,01aacad7-5714-46fa-b470-0914a692c155,,,,,,,,,
118,01acbb21-840f-429e-92d5-766ae2376274,,,,,,,,,
119,01ad4a22-15af-4302-8032-492f1d1c0bfd,,,,,,Medicaid or CHIP,,,
120,01aee070-cbf6-4353-bfc8-ede75a5808fe,,,,,,Private (through parent/caregiver),,,
121,01b5632a-5bd6-46b7-9a9b-a9699daea7cc,,,,,,Private (through parent/caregiver),,,
122,01b77d65-e1e2-40ba-8c20-6f1996320592,,,,,,Private (through parent/caregiver),,,
123,01ba3b7e-689c-42ee-b603-45e11381a7ef,"Over $75,000",Yes,Yes,,Yes,Private (through parent/caregiver),1,Employed full-time outside of the home,69.0
124,01c0e2d1-1645-4642-b14e-be30806f7409,,,,,,Private (through parent/caregiver),,,
125,01c5cbfc-e23a-45d5-8e73-d3776c9c41a4,,,,,,Private (through parent/caregiver),,,
126,01cec04b-b2eb-4052-a2d6-93d33af9a3c1,,,,,,Private (through parent/caregiver),,,
127,01d0030d-dd8b-4b99-85d9-4fd20eeae8bb,,,,,,Private (through parent/caregiver),,,
128,01d41826-7aea-46fe-84b9-85a2d15aa241,,,,,,Private (through parent/caregiver),,,
129,01d6c649-d2f1-4872-a328-479e07f8597a,,,,,,,,,
130,01d835dc-fafd-4650-a984-f38d77b9fe36,,,,,,Private (through parent/caregiver),,,
131,01d8c05c-91d6-4a86-b6d0-fa1850dd7b58,,,,,,Private (through parent/caregiver),,,
132,01dd2c24-9d32-496b-ac97-203d3d82ac3f,,,,,,Private (through parent/caregiver),,,59.0
133,01e16c72-110a-4014-98a5-53fe0efd3e13,"Under $50,000",No,Yes,,Yes,Medicaid or CHIP,1,Full-time homemaker,
134,01e258b9-7ec1-4d09-9603-e94476f5fb1c,,,,,,Medicaid or CHIP,,,
135,01ebb36d-e620-4a0d-9b08-d7b37404d464,,,,,,,,,
136,01ef64a3-8cfb-4281-94c2-cd44c4fc83e2,,,,,,,,,
137,01f4f9dd-bd18-4340-9f56-b02aefbb01ac,,,,,,Private (through parent/caregiver),,,
138,01fa9b51-1296-4273-8043-248a76d20c32,,,,,,Private (through parent/caregiver),,,
139,01facc9b-7ebc-41f6-973b-79be3f47a360,,,,,,Medicaid or CHIP,,,
140,020243b7-28b0-4bb8-a433-825aaf0e4a2a,,,,,,Medicaid or CHIP,,,
141,020542e0-1701-40fc-a97d-5246fb58e54b,,,,,,Private (through parent/caregiver),,,
142,020f77f4-dc1d-4e5c-abcf-42dc3e102093,,,,,,Private (through parent/caregiver),,,
143,0213a89a-ae86-4129-9014-cf57d137c23c,,,,,,None,,,
144,021457f5-0d8a-4e3c-8296-025a3b836696,,,,,,Private (through parent/caregiver),,,
145,0214e7be-53a2-48fd-95e2-e71c453e7870,,,,,,Private (through parent/caregiver),,,
146,0215bee6-73ab-483f-ac06-4377eca5bf20,,,,,,Private (through parent/caregiver),,,
147,02173f8c-8fdf-4076-83e7-c376070b26de,,,,,,,,,
148,021fcf16-8c8a-40a9-997c-08a819187900,,,,,,Private (through parent/caregiver),,,
149,0220cffd-cd25-49e6-bf62-fe4402945786,,,,,,,,,
150,0223ecfb-ad3a-46b4-9264-bb393d7489fb,,,,,,Private (through parent/caregiver),,,
151,0225e0d5-ed91-4904-b555-316a6ff486f4,,,,,,Medicaid or CHIP,,,
152,0226b8a6-9c5d-4ea0-bddb-ea05c12ee678,,,,,,Private (through parent/caregiver),,,
153,022a1e19-89d6-46a1-9171-1a9e6e945590,,,,,,Private (through parent/caregiver),,,
154,022f0f95-a853-4e3c-a83e-2ed2b8939206,,,,,,Medicaid or CHIP,,,
155,023045f4-d07e-4ae5-ad81-0fc35eeeb9c3,,,,,,Private (through parent/caregiver),,,
156,02365fa5-0efc-471d-a483-52f1b96e1e02,,,,,,Don't Know,,,
157,02375add-4cc8-4f6d-abfd-105d6b3dd276,,,,,,Private (through parent/caregiver),,,
158,02386d2d-eab6-44a3-bdb9-80f2ead1fc2b,,,,,,Private (through parent/caregiver),,,
159,0239d463-0084-45a5-91eb-1291e1db99bc,,,,,,Medicaid or CHIP,,,
160,02436333-7459-4703-bf8a-b55a42d679d3,,,,,,,,,
161,0248e071-04a9-4871-80d6-1d13773ead05,,,,,,None,,,
162,024a8cc9-9904-45fd-8b24-26524abad411,,,,,,Private (through parent/caregiver),,,
163,024d263e-ed5c-4ec3-96b1-b5cc6e36fff8,,,,,,,,,
164,024f1f4a-357f-4c5b-83ca-d0312f344d0e,,,,,,Medicaid or CHIP,,,
165,02542a42-a905-4bf6-ab7e-74d836d3ea1c,,,,,,Private (through parent/caregiver),,,
166,0256330d-04d7-41d3-86ec-97c8df204d36,,,,,,,,,
167,02572ff3-397d-4023-bfae-e59b71bd178e,,,,,,Private (through parent/caregiver),,,
168,025885fe-528b-469c-bb38-65a46637cd52,,,,,,Private (through parent/caregiver),,,
169,025a02cc-3b2c-40ee-8d66-f9cb1ef6807e,,,,,,Private (through parent/caregiver),,,
170,025d8a7d-6353-4bf8-b3fe-54f9273a555a,,,,,,Private (through parent/caregiver),,,
171,025e15cd-001b-4c34-b955-0b5a83031cd9,"Over $75,000",Yes,Yes,,No,Private (through parent/caregiver),1,Employed full-time outside of the home,67.0
172,025fb52b-8180-41a5-b6cd-d661fc5c967c,,,,,,,,,
173,026a7292-ba0f-4db5-a900-5663a7c1988c,,,,,,,,,
174,026e7cf3-e887-4ae2-9846-f8c2a8d58cda,,,,,,Private (through parent/caregiver),,,
175,02767040-6075-4fcd-91e4-e6dae3c57e04,,,,,,Private (through parent/caregiver),,,
176,02778c79-6ad1-4c20-a2bf-37a05c32e7ae,,,,,,Medicaid or CHIP,,,
177,02795c31-d631-407c-ad4d-5d27acef3b2a,,,,,,Private (through parent/caregiver),,,
178,027a7c1e-69b2-4490-b580-1051a1b41edc,,,,,,Medicaid or CHIP,,,
179,027da551-fc0e-4dad-b3d2-bb1953a8296f,,,,,,Private (through parent/caregiver),,,
180,027deabd-26ff-403e-89cd-a3cb90610578,,,,,,Private (through parent/caregiver),,,
181,027e84e3-2ccb-4f5f-9d11-a0a12427ddfb,,,,,,Medicaid or CHIP,,,
182,0288bb64-bcf3-43fc-8fd0-ccc426d7235d,,,,,,Private (through parent/caregiver),,,
183,028cf560-25a8-4847-8e99-915134b92a32,,,,,,Medicaid or CHIP,,,
184,028f0269-4f99-441c-a2dd-8232e6d7a8ea,,,,,,Private (through parent/caregiver),,,
185,028f6373-6fdc-4df7-aa7c-de5691e33e85,,,,,,Medicaid or CHIP,,,
186,0292f56b-b384-42b1-848e-d00c61df01b3,,,,,,,,,
187,02939b6a-6a11-4cd5-977d-a16f15f1164f,,,,,,Medicaid or CHIP,,,
188,02999ede-6208-4e0e-a654-a47baae64bfe,,,,,,Medicaid or CHIP,,,
189,02a2fcc5-c9c2-4c9d-b488-d52289df9dd2,,,,,,Medicaid or CHIP,,,
190,02a37514-db93-41c2-a6f1-f8ff5e7e6798,Do not know,N/A,Yes,,Yes,Private (through parent/caregiver),2,Employed full-time outside of the home,
191,02a82758-4878-49d3-8a3a-da17e2451bd0,,,,,,Medicaid or CHIP,,,
192,02acb0f6-3b75-419f-bca3-083d33b02fdf,,,,,,None,,,
193,02af1e7f-bb96-4f61-ae8a-5e549ab94a07,,,,,,Medicaid or CHIP,,,
194,02af688a-0f27-4fe0-a5cb-ff5bbcdb078b,,,,,,Private (through parent/caregiver),,,
195,02afb423-ea1a-4bc9-bc5b-21b0d3ad5195,"$50,000 to $75,000",Yes,N/A,,Yes,Private (through parent/caregiver),2,Full-time homemaker,50.0
196,02b13130-93e2-45bd-915a-ac4b3785fffd,,,,,,Private (through parent/caregiver),,,
197,02b25ae1-2236-4d48-a3be-52974c41c487,,,,,,Private (through parent/caregiver),,,
198,02b2ebcc-d30e-4188-8fac-ba0412679e76,,,,,,,,,
199,02b68b5c-8876-42a8-8381-d248f35ccedb,,,,,,,,,
200,02b6b0b8-f344-40dd-a3be-a550b3dfa669,,,,,,Private (through parent/caregiver),,,
201,02bf5d7e-f91f-4aae-b3b1-f629b00957b8,,,,,,Medicaid or CHIP,,,
202,02bfbd7b-65a9-4d57-89f5-df409c0601e4,,,,,,Medicaid or CHIP,,,
203,02c623f9-9ba3-4fbc-b834-ce8af45417de,,,,,,Private (through parent/caregiver),,,
204,02cbecab-1e21-4eca-9e9a-7258469dd76c,,,,,,Private (through parent/caregiver),,,
205,02cd16a2-09af-462c-ac2f-dd7113db43c4,,,,,,None,,,
206,02d595ae-a21e-4697-a282-4d696fd268c2,,,,,,Private (through parent/caregiver),,,
207,02d6bb93-b984-4605-9bbc-9bb093a1b028,,,,,,Medicaid or CHIP,,,
208,02d7db2e-a4bf-4be7-a8f2-b841c89c5fab,,,,,,Private (through parent/caregiver),,,
209,02dbc9d1-85eb-4bba-9873-05b532144049,,,,,,Private (through parent/caregiver),,,
210,02e00e3f-8166-44ab-a0cd-824823b8d492,,,,,,Private (through parent/caregiver),,,
211,02e0759e-6cc0-470f-b38c-05bd2f4e2f4b,,,,,,Medicaid or CHIP,,,
212,02e1d0fd-32ca-4249-9e77-9689f221574d,,,,,,Private (through parent/caregiver),,,
213,02e2dd0e-daf2-40c3-a36b-a7a793b37cd5,,,,,,,,,
214,02e3b5f6-50a3-4d0e-97f9-e34def9ebd70,,,,,,Private (through parent/caregiver),,,
215,02ed7b2c-4f08-491d-a44d-14bd71040695,,,,,,Don't Know,,,
216,02f30274-8982-4967-bcbd-4dd8f32e2aac,,,,,,,,,
217,02f4e6a1-08c6-4554-aa3f-66665895b8b3,,,,,,Medicaid or CHIP,,,
218,02f52226-51ba-4d7e-807e-e6f81b7278d2,,,,,,,,,
219,02fb3b21-6a1a-4586-a2fc-90dd9e662d71,,,,,,Private (through parent/caregiver),,,
220,02fdcefd-6046-4cc3-a1eb-ffcc7b0679d3,,,,,,Private (through parent/caregiver),,,
221,0300b511-b997-4e09-962c-2a9800b0ad6e,,,,,,Private (through parent/caregiver),,,72.0
222,030617a0-10a5-41ba-9717-5515fba80327,,,,,,Private (through parent/caregiver),,,
223,030b348a-85bd-493f-9ce0-bac7db7df907,,,,,,,,,
224,03175c77-57f1-4653-9981-314526cbc6a2,,,,,,Private (through parent/caregiver),,,
225,031c79c1-342d-4f05-96e9-587e1b5ac4bd,,,,,,Private (through parent/caregiver),,,
226,031eb930-5d69-43c0-8d80-e16e19b5eb97,,,,,,Private (through parent/caregiver),,,
227,03229a9d-f25c-4f64-8b2f-afef34b23add,,,,,,Private (through parent/caregiver),,,
228,03232f8c-b344-48a2-a0a9-ed160c828eb1,,,,,,Private (through parent/caregiver),,,
229,0323a0d7-0bd8-4c55-95c6-74487eb1131d,,,,,,Private (through parent/caregiver),,,
230,0326ec29-4ba1-490d-be58-78edf6ea564e,,,,,,Medicaid or CHIP,,,
231,032c65b4-2f0e-4bc4-82f4-63e027a4ffbe,,,,,,Private (through parent/caregiver),,,
232,0332555c-f5cb-4b41-892b-1b8fbd59e13a,,,,,,,,,
233,03354993-c69d-42a5-bf17-b5a9d12614e4,,,,,,Private (through parent/caregiver),,,
234,0336b722-6eae-4a67-ae67-d809b21d24bb,,,,,,Medicaid or CHIP,,,
235,0337466a-701a-4c0d-9a0d-0c45d6489076,,,,,,,,,
236,0337c685-689d-48f0-9cb1-3ddbcab8583c,,,,,,Private (through parent/caregiver),,,
237,033c9131-215a-4b7f-a336-e16132eda7bc,,,,,,Medicaid or CHIP,,,
238,033e0bb7-ae56-4ffd-95b5-dc2a9c982cc4,,,,,,,,,
239,033fcc01-4861-4091-b559-50152e27d182,,,,,,Private (through parent/caregiver),,,
240,034132f2-2e2d-4086-8fda-143e14168df6,,,,,,Private (through parent/caregiver),,,78.0
241,034271a8-f037-4e3d-b8c7-1f01074048f7,,,,,,Private (through parent/caregiver),,,
242,0344a11d-3476-4376-9653-0fe3344b4afe,,,,,,,,,
243,0347a7bd-1818-4997-a688-02cb467011bb,,,,,,Medicaid or CHIP,,,
244,03492008-aed3-4cc9-9fb5-0db84b7ed034,"Over $75,000",Yes,Yes,,Yes,Private (through parent/caregiver),2,Employed full-time outside of the home,64.0
245,034c0bf5-7d3c-4d94-970b-3f3c0f52dce1,,,,,,Private (through parent/caregiver),,,
246,034e5a89-b205-4887-be3f-6967700e288e,"$50,000 to $75,000",Yes,No,,Yes,Private (through parent/caregiver),2,Full-time homemaker,83.0
247,035e491e-3a5c-4d6e-9d67-ee2ad8e14679,,,,,,Private (through parent/caregiver),,,
248,036229e7-7b97-4366-8a7f-ddebe5883940,,,,,,,,,
249,0365fb26-df96-4870-adad-8e50647eabb0,,,,,,Private (through parent/caregiver),,,
250,036b9cbe-e9cb-4d50-b6ff-969475667697,,,,,,Private (through parent/caregiver),,,
251,036cd588-d555-46ed-9d53-84cdae02cf77,,,,,,Private (through parent/caregiver),,,74.0
252,036e0545-ccb2-4c80-a07e-555c2e110885,,,,,,,,,
253,0370d4a9-7698-4296-9118-e6f9ab0ea504,,,,,,Private (through parent/caregiver),,,
254,037177ac-62ff-4095-a59c-92b837f63ccf,,,,,,Private (through parent/caregiver),,,
255,037487a5-f1c8-4279-9551-c04d5d2692a2,,,,,,Private (through parent/caregiver),,,
256,03781243-0cf9-4d1d-b4da-9c7c653e6d00,"Over $75,000",Yes,Yes,,Yes,Private (through parent/caregiver),1,Full-time homemaker,
257,037a6bc5-46a5-40ed-ab69-d0992d9c818c,,,,,,Private (through parent/caregiver),,,
258,037a9ce4-183d-47c8-855a-37f7852ffb01,,,,,,,,,
259,037e0d73-bb68-45e0-9f34-740564355ff8,,,,,,,,,
260,03808c41-ca2c-43c0-8be9-3bb351be68f8,,,,,,Private (through parent/caregiver),,,
261,0381fb1b-6c94-408a-a83f-700cdc468afb,"Over $75,000",Yes,Yes,,No,Don't Know,1,Full-time homemaker,
262,038284ca-7a82-4956-9d1a-29ac87664717,,,,,,Private (through parent/caregiver),,,
263,0389329e-0109-46e5-a83e-db9c59819dbe,,,,,,,,,
264,038c5267-d908-44d3-92da-eeab5d190c17,,,,,,Medicaid or CHIP,,,
265,0390d779-3a8d-41fd-a7a0-3cff3691f59c,,,,,,,,,
266,039276f0-7b30-4967-8ec1-0526426f7b01,,,,,,Private (through parent/caregiver),,,
267,03962b31-be3c-42f8-b443-e50c115b79ec,,,,,,,,,
268,039bef79-14ba-4f44-9ca7-2544f75ca40c,,,,,,,,,
269,039d2fd6-adf7-4928-b755-b4e712b85d70,,,,,,,,,
270,03a277fb-467d-466f-8982-2af2ad8872f2,,,,,,Private (through parent/caregiver),,,
271,03a691f8-3bde-4c92-a03f-3c455e9ff5b0,,,,,,Private (through parent/caregiver),,,
272,03ab48ba-636e-4307-867e-837a6fc82dd1,,,,,,,,,
273,03acaea2-809b-44e9-93ff-988f8e63f2f2,,,,,,Medicaid or CHIP,,,
274,03ae911b-4021-4602-8167-ded0c95e05fb,,,,,,Private (through parent/caregiver),,,
275,03af6113-e9d5-4814-b122-ae59bd046ffc,,,,,,,,,
276,03b0c8c1-7564-4871-b27d-a426403c130c,,,,,,Medicaid or CHIP,,,
277,03b2e5ad-5cda-430f-ae68-32be89c9afe7,,,,,,Medicaid or CHIP,,,
278,03b37b03-bf5c-4dbb-b395-bf6cd6483c85,,,,,,Medicaid or CHIP,,,
279,03b3f95f-44f7-42e4-822e-1a76c42f8399,,,,,,,,,
280,03b79c88-5142-4899-8073-1222075c874e,,,,,,Private (through parent/caregiver),,,
281,03b8cdac-2283-4d16-b792-4dab806ed22a,,,,,,Medicaid or CHIP,,,
282,03be33a9-f6db-452e-974b-d76822ed147c,,,,,,,,,
283,03c3474f-e51e-4b3d-b65d-3b2807f56a31,,,,,,Medicaid or CHIP,,,
284,03c5c6ea-b364-4564-ba33-87926ddda93c,,,,,,Private (through parent/caregiver),,,
285,03c6f653-9ee0-4349-a400-c742b7624801,,,,,,Medicaid or CHIP,,,
286,03cb37f7-1bb2-471a-b9d3-f8ac4a96073d,,,,,,Medicaid or CHIP,,,
287,03d24674-2f74-47d5-8cd6-17dfb76a5324,,,,,,Private (through parent/caregiver),,,
288,03d2e9dd-ebb5-4584-94e0-5bd2826afddd,,,,,,Don't Know,,,66.0
289,03d5159b-6007-4e2d-b19d-10295ae0229d,,,,,,Private (through parent/caregiver),,,
290,03d890e7-dadd-414c-9e2e-e57e6e76f080,,,,,,Private (through parent/caregiver),,,
291,03db7c36-df6c-4cd5-96be-a957779d4278,,,,,,Private (through parent/caregiver),,,
